timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-03-01,86.9300,87.9900,86.2400,87.1600,87.1600,6314902,0.2200,1.0000
2019-02-28,86.0800,86.4000,85.6800,85.7300,85.5142,4988146,0.0000,1.0000
2019-02-27,85.5300,86.2200,85.0600,86.1700,85.9530,4588351,0.0000,1.0000
2019-02-26,85.3100,86.0800,85.2000,85.8000,85.5840,6678802,0.0000,1.0000
2019-02-25,85.3900,85.7300,84.9600,85.1700,84.9556,6229652,0.0000,1.0000
2019-02-22,84.2000,85.0200,84.0301,84.7600,84.5466,4449747,0.0000,1.0000
2019-02-21,83.5700,84.1520,83.3500,83.9500,83.7386,8579155,0.0000,1.0000
2019-02-20,84.6300,84.9500,84.3500,84.8400,84.6264,6436096,0.0000,1.0000
2019-02-19,84.5800,85.0500,84.4600,84.5700,84.3571,5105894,0.0000,1.0000
2019-02-15,85.4900,85.7800,85.1000,85.3800,85.1650,6111250,0.0000,1.0000
2019-02-14,84.6100,85.1400,83.7000,84.6800,84.4668,5179036,0.0000,1.0000
2019-02-13,84.7600,85.5900,84.7600,85.4000,85.1850,5032812,0.0000,1.0000
2019-02-12,83.9700,84.8400,83.6200,84.7100,84.4967,6290259,0.0000,1.0000
2019-02-11,82.9500,83.8300,82.8704,83.6800,83.4693,6158533,0.0000,1.0000
2019-02-08,82.2500,82.7200,81.9400,82.3600,82.1526,3786588,0.0000,1.0000
2019-02-07,82.1500,82.8450,81.7100,82.3900,82.1826,4827485,0.0000,1.0000
2019-02-06,82.5100,82.7100,81.6400,82.7100,82.5018,3682813,0.0000,1.0000
2019-02-05,81.9800,83.1900,81.9300,82.8600,82.6514,6545577,0.0000,1.0000
2019-02-04,81.2200,82.0000,80.8300,81.9900,81.7836,4236583,0.0000,1.0000
2019-02-01,81.8300,81.9000,81.1300,81.5100,81.3048,5351916,0.0000,1.0000
2019-01-31,81.1800,81.9500,80.7100,81.8800,81.6738,8599206,0.0000,1.0000
2019-01-30,80.4000,81.2900,80.0601,81.2800,81.0754,5200226,0.0000,1.0000
2019-01-29,80.3600,80.8300,79.8400,80.2200,80.0180,4187527,0.0000,1.0000
2019-01-28,79.8000,80.5050,79.7400,80.3200,80.1178,5451971,0.0000,1.0000
2019-01-25,81.2500,81.3319,80.4300,80.6100,80.4070,4457072,0.0000,1.0000
2019-01-24,80.6000,80.8700,79.5500,80.4400,80.2375,4753325,0.0000,1.0000
2019-01-23,81.1900,81.4000,80.2200,80.5000,80.2973,5822957,0.0000,1.0000
2019-01-22,80.3300,81.3129,80.2000,80.7500,80.5467,8781678,0.0000,1.0000
2019-01-18,79.9500,80.9700,79.7400,80.4500,80.2474,10404132,0.0000,1.0000
2019-01-17,77.5400,79.4000,77.3100,79.1300,78.9308,7737292,0.0000,1.0000
2019-01-16,78.0000,78.8500,77.5863,77.6800,77.4844,5697149,0.0000,1.0000
2019-01-15,76.1900,77.9800,76.1300,77.8800,77.6839,6212364,0.0000,1.0000
2019-01-14,75.4600,76.8100,75.4600,76.0900,75.8984,5677442,0.0000,1.0000
2019-01-11,76.3400,76.8900,75.8000,76.0400,75.8486,10689863,0.0000,1.0000
2019-01-10,75.6400,77.3400,75.4600,76.4200,76.2276,11148593,0.0000,1.0000
2019-01-09,76.9700,77.1500,76.1400,76.5900,76.3972,8590991,0.0000,1.0000
2019-01-08,76.8300,77.4000,76.2000,76.7300,76.5368,8808978,0.0000,1.0000
2019-01-07,74.7400,76.3650,74.3000,75.7200,75.5294,8184786,0.0000,1.0000
2019-01-04,73.4500,75.1200,73.1200,74.6500,74.4621,7844239,0.0000,1.0000
2019-01-03,73.2500,73.3200,71.2100,72.7500,72.5668,8007384,0.0000,1.0000
2019-01-02,72.7900,74.6400,72.1900,74.0600,73.8735,6762678,0.0000,1.0000
2018-12-31,73.9800,74.4600,73.5150,74.1400,73.9533,5519230,0.0000,1.0000
2018-12-28,73.9700,74.4600,72.5700,73.3400,73.1553,6197000,0.0000,1.0000
2018-12-27,72.1800,73.7300,70.9900,73.6700,73.4845,9004918,0.0000,1.0000
2018-12-26,68.7000,73.0100,68.6500,73.0100,72.8262,10019245,0.0000,1.0000
2018-12-24,71.4000,71.9300,68.0800,68.1000,67.9285,8551422,0.0000,1.0000
2018-12-21,73.2900,74.2900,71.2500,72.3700,72.1878,28487870,0.0000,1.0000
2018-12-20,68.7300,69.5700,66.5300,67.5300,67.3600,14488531,0.0000,1.0000
2018-12-19,71.4500,72.0000,68.3200,68.9700,68.7964,8426122,0.0000,1.0000
2018-12-18,70.9000,72.4100,70.4300,71.1500,70.9709,7533275,0.0000,1.0000
2018-12-17,71.3700,71.7700,69.4550,69.9000,69.7240,10647705,0.0000,1.0000
2018-12-14,71.9700,73.6500,71.4100,72.5300,72.3474,7221195,0.0000,1.0000
2018-12-13,74.5000,74.5900,72.5900,72.9300,72.7464,7454985,0.0000,1.0000
2018-12-12,74.5200,75.2800,73.5100,74.3200,74.1329,6950474,0.0000,1.0000
2018-12-11,73.8700,74.5700,72.5600,73.5700,73.3848,7794548,0.0000,1.0000
2018-12-10,73.1000,73.7100,70.6100,72.5100,72.3274,7235047,0.0000,1.0000
2018-12-07,75.0400,75.9700,72.8700,73.3400,73.1553,6133687,0.0000,1.0000
2018-12-06,74.3700,75.5650,73.5900,75.5400,75.3498,9693738,0.0000,1.0000
2018-12-04,77.4200,78.4000,75.4100,75.7900,75.5992,8800364,0.0000,1.0000
2018-12-03,77.1000,79.0000,76.9300,77.9400,77.7438,10209260,0.0000,1.0000
2018-11-30,74.1800,75.4800,73.9000,75.1200,74.9309,7947547,0.2200,1.0000
2018-11-29,74.6400,74.9500,73.3200,74.3400,73.9363,5436736,0.0000,1.0000
2018-11-28,72.3000,74.7600,72.3000,74.6600,74.2546,6167164,0.0000,1.0000
2018-11-27,72.2800,72.5500,71.3000,72.0900,71.6985,5008125,0.0000,1.0000
2018-11-26,72.3400,73.0000,72.2700,72.7100,72.3151,6458287,0.0000,1.0000
2018-11-23,72.0500,72.5200,71.4050,71.4900,71.1018,2582343,0.0000,1.0000
2018-11-21,71.9900,72.9000,71.8100,72.3700,71.9770,7326182,0.0000,1.0000
2018-11-20,70.4900,72.0700,69.5200,71.1200,70.7338,9053946,0.0000,1.0000
2018-11-19,74.6900,74.7500,71.8600,72.5200,72.1262,6744852,0.0000,1.0000
2018-11-16,73.7600,75.5200,73.0600,74.7400,74.3341,8064168,0.0000,1.0000
2018-11-15,74.4400,74.6700,72.8900,74.3300,73.9264,7858298,0.0000,1.0000
2018-11-14,76.3200,77.4900,74.8900,75.2000,74.7916,7984223,0.0000,1.0000
2018-11-13,75.5300,76.2650,74.8400,75.2000,74.7916,4584553,0.0000,1.0000
2018-11-12,76.3500,76.7700,74.9900,75.1000,74.6922,5204896,0.0000,1.0000
2018-11-09,77.7100,77.7700,75.5250,76.3600,75.9453,4737726,0.0000,1.0000
2018-11-08,77.6900,78.1600,77.2400,77.7800,77.3576,5425040,0.0000,1.0000
2018-11-07,76.9400,78.2300,76.5700,77.9700,77.5466,5403850,0.0000,1.0000
2018-11-06,77.3400,77.5800,76.3550,76.5700,76.1542,6424228,0.0000,1.0000
2018-11-05,76.4900,77.7700,76.0500,77.5300,77.1090,7143324,0.0000,1.0000
2018-11-02,77.5300,78.5900,75.7100,76.5800,76.1641,6995098,0.0000,1.0000
2018-11-01,75.2300,76.8400,74.8400,76.7900,76.3730,6117833,0.0000,1.0000
2018-10-31,75.5000,76.3400,74.9200,75.0400,74.6325,8755514,0.0000,1.0000
2018-10-30,73.0700,74.6400,72.8100,74.5100,74.1054,9469954,0.0000,1.0000
2018-10-29,73.2600,74.0100,71.3900,72.1900,71.7980,9874204,0.0000,1.0000
2018-10-26,72.0000,72.7100,70.6900,72.0700,71.6786,8371189,0.0000,1.0000
2018-10-25,72.6900,73.4950,72.2300,73.1000,72.7030,7648037,0.0000,1.0000
2018-10-24,73.4700,74.6055,71.9500,72.1200,71.7284,8333909,0.0000,1.0000
2018-10-23,74.1900,74.3800,72.0700,73.3500,72.9517,11423769,0.0000,1.0000
2018-10-22,74.6500,75.2100,74.3000,74.9000,74.4933,7042460,0.0000,1.0000
2018-10-19,75.8300,76.0500,74.1400,74.2100,73.8070,7301200,0.0000,1.0000
2018-10-18,77.4000,77.4100,75.0031,75.6000,75.1895,7622219,0.0000,1.0000
2018-10-17,77.5200,77.8000,75.9400,76.4800,76.0647,6816903,0.0000,1.0000
2018-10-16,75.6000,77.6500,75.3200,77.4800,77.0592,7744185,0.0000,1.0000
2018-10-15,75.7700,76.1600,74.9700,74.9900,74.5828,5789049,0.0000,1.0000
2018-10-12,75.9700,76.8600,74.9100,75.9100,75.4978,10393839,0.0000,1.0000
2018-10-11,74.7700,77.0700,73.9000,74.5100,74.1054,11532101,0.0000,1.0000
2018-10-10,79.6600,80.0400,74.7700,74.9400,74.5330,12977800,0.0000,1.0000
2018-10-09,80.3700,81.4900,80.1600,80.4200,79.9833,7643669,0.0000,1.0000
2018-10-08,80.0400,80.5400,79.0800,80.2300,79.7943,8058686,0.0000,1.0000
2018-10-05,80.0900,80.9900,79.4300,80.1200,79.6849,7019108,0.0000,1.0000
