Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-12-09,27.25,28.11,26.99,27.92,10609700.0,0.0,1.0,25.811043346611,26.625630402687,25.564772841285,26.44566349495,10609700.0
2010-12-10,27.4,27.72,27.06,27.41,1206800.0,0.0,1.0,25.953122484299,26.256224644699,25.631076438873,25.962594426811,1206800.0
2010-12-13,27.5,27.72,27.0,27.4,473200.0,0.0,1.0,26.047841909424,26.256224644699,25.574244783798,25.953122484299,473200.0
2010-12-14,27.7,27.97,27.02,27.31,358200.0,0.0,1.0,26.237280759674,26.493023207512,25.593188668823,25.867875001686,358200.0
2010-12-15,27.2,27.7,27.19,27.45,242200.0,0.0,1.0,25.763683634048,26.237280759674,25.754211691536,26.000482196861,242200.0
2010-12-16,27.6,27.65,27.205,27.65,260000.0,0.0,1.0,26.142561334549,26.189921047112,25.768419605304,26.189921047112,260000.0
2010-12-17,27.55,28.06,27.5,28.06,69800.0,0.0,1.0,26.095201621986,26.578270690125,26.047841909424,26.578270690125,69800.0
2010-12-20,28.1,28.42,27.84,28.14,65900.0,0.0,1.0,26.616158460175,26.919260620575,26.369887954849,26.654046230225,65900.0
2010-12-21,28.17,29.04,28.01,28.91,210200.0,0.0,1.0,26.682462057762,27.506521056351,26.530910977562,27.383385803689,210200.0
2010-12-22,29.0,30.5204,28.96,29.45,103000.0,0.0,1.0,27.468633286301,28.908747425905,27.430745516251,27.894870699365,103000.0
2010-12-23,29.68,29.68,28.89,29.1,66100.0,0.0,1.0,28.112725377153,28.112725377153,27.364441918664,27.563352711427,66100.0
2010-12-27,29.15,29.3599,28.87,28.98,29800.0,0.0,1.0,27.610712423989,27.809528497327,27.345498033639,27.449689401276,29800.0
2010-12-28,28.99,29.125,28.81,29.05,90200.0,0.0,1.0,27.459161343789,27.587032567708,27.288666378564,27.515992998864,90200.0
2010-12-29,29.25,29.25,28.84,29.08,85300.0,0.0,1.0,27.705431849114,27.705431849114,27.317082206101,27.544408826402,85300.0
2010-12-30,29.23,29.95,28.61,28.96,149800.0,0.0,1.0,27.686487964089,28.368467824991,27.099227528313,27.430745516251,149800.0
2010-12-31,29.0,29.12,28.83,29.12,68800.0,0.0,1.0,27.468633286301,27.582296596452,27.307610263589,27.582296596452,68800.0
2011-01-03,29.5,29.51,28.735,28.98,230900.0,0.0,1.0,27.942230411927,27.95170235444,27.21762680972,27.449689401276,230900.0
2011-01-04,29.23,29.23,28.5,28.53,56500.0,0.0,1.0,27.686487964089,27.686487964089,26.995036160676,27.023451988213,56500.0
2011-01-05,28.68,28.9,28.3,28.41,178700.0,0.0,1.0,27.165531125901,27.373913861176,26.805597310425,26.909788678063,178700.0
2011-01-06,28.61,29.21,28.53,29.0,218600.0,0.0,1.0,27.099227528313,27.667544079064,27.023451988213,27.468633286301,218600.0
2011-01-07,31.04,31.2,30.1501,30.54,2144000.0,0.0,1.0,29.400909558855,29.552460639055,28.558001394666,28.927312433229,2144000.0
2011-01-10,30.89,31.33,30.82,30.9299,621700.0,0.0,1.0,29.258830421167,29.675595891718,29.19252682358,29.296623471792,621700.0
2011-01-11,31.2,31.24,30.41,30.58,330800.0,0.0,1.0,29.552460639055,29.590348409105,28.804177180566,28.965200203279,330800.0
2011-01-12,30.78,30.9,30.21,30.3,216500.0,0.0,1.0,29.15463905353,29.26830236368,28.614738330316,28.699985812929,216500.0
2011-01-13,30.38,30.76,30.3,30.51,132800.0,0.0,1.0,28.775761353029,29.135695168505,28.699985812929,28.898896605692,132800.0
2011-01-14,30.67,31.35,30.59,31.35,269100.0,0.0,1.0,29.050447685892,29.694539776743,28.974672145792,29.694539776743,269100.0
2011-01-18,31.15,31.47,30.3,30.89,49400.0,0.0,1.0,29.505100926493,29.808203086893,28.699985812929,29.258830421167,49400.0
2011-01-19,30.67,30.83,30.41,30.52,300200.0,0.0,1.0,29.050447685892,29.201998766092,28.804177180566,28.908368548204,300200.0
2011-01-20,30.3,31.09,29.98,30.6,155300.0,0.0,1.0,28.699985812929,29.448269271418,28.396883652528,28.984144088304,155300.0
